child_sku,parent_sku,nama_blend,season,kategori,ukuran,grind_size,harga_idr,berat_bersih_g,deskripsi_singkat
S-WIN-001-1K-XF,S-WIN-001,Highland Winter Crest,Winter,Seasonal Blend,1kg,Extra Fine,258500,1000,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java..."
S-WIN-002-100-WB,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,100g,Whole Bean,35000,100,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-100-CRS,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,100g,Coarse,37000,100,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-100-MED,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,100g,Medium,37500,100,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-100-FIN,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,100g,Fine,38000,100,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-100-XF,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,100g,Extra Fine,38500,100,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-200-WB,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,200g,Whole Bean,62000,200,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-200-CRS,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,200g,Coarse,64000,200,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-200-MED,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,200g,Medium,64500,200,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-200-FIN,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,200g,Fine,65000,200,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-200-XF,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,200g,Extra Fine,65500,200,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-500-WB,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,500g,Whole Bean,140000,500,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-500-CRS,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,500g,Coarse,142000,500,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-500-MED,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,500g,Medium,142500,500,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-500-FIN,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,500g,Fine,143000,500,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-500-XF,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,500g,Extra Fine,143500,500,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-1K-WB,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,1kg,Whole Bean,255000,1000,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-1K-CRS,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,1kg,Coarse,257000,1000,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-1K-MED,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,1kg,Medium,257500,1000,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-1K-FIN,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,1kg,Fine,258000,1000,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-002-1K-XF,S-WIN-002,Highland Winter Series,Winter,Seasonal Blend,1kg,Extra Fine,258500,1000,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan..."
S-WIN-003-100-WB,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,100g,Whole Bean,35000,100,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-100-CRS,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,100g,Coarse,37000,100,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-100-MED,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,100g,Medium,37500,100,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-100-FIN,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,100g,Fine,38000,100,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-100-XF,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,100g,Extra Fine,38500,100,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-200-WB,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,200g,Whole Bean,62000,200,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-200-CRS,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,200g,Coarse,64000,200,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-200-MED,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,200g,Medium,64500,200,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-200-FIN,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,200g,Fine,65000,200,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-200-XF,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,200g,Extra Fine,65500,200,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-500-WB,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,500g,Whole Bean,140000,500,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-500-CRS,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,500g,Coarse,142000,500,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-500-MED,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,500g,Medium,142500,500,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-500-FIN,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,500g,Fine,143000,500,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-500-XF,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,500g,Extra Fine,143500,500,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-1K-WB,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,1kg,Whole Bean,255000,1000,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-1K-CRS,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,1kg,Coarse,257000,1000,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-1K-MED,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,1kg,Medium,257500,1000,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-1K-FIN,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,1kg,Fine,258000,1000,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-003-1K-XF,S-WIN-003,Sacred Winter Blend,Winter,Seasonal Blend,1kg,Extra Fine,258500,1000,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java ..."
S-WIN-004-100-WB,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,100g,Whole Bean,35000,100,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-100-CRS,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,100g,Coarse,37000,100,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-100-MED,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,100g,Medium,37500,100,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-100-FIN,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,100g,Fine,38000,100,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-100-XF,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,100g,Extra Fine,38500,100,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-200-WB,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,200g,Whole Bean,62000,200,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-200-CRS,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,200g,Coarse,64000,200,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-200-MED,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,200g,Medium,64500,200,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-200-FIN,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,200g,Fine,65000,200,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-200-XF,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,200g,Extra Fine,65500,200,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-500-WB,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,500g,Whole Bean,140000,500,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-500-CRS,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,500g,Coarse,142000,500,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-500-MED,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,500g,Medium,142500,500,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-500-FIN,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,500g,Fine,143000,500,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-500-XF,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,500g,Extra Fine,143500,500,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-1K-WB,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,1kg,Whole Bean,255000,1000,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-1K-CRS,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,1kg,Coarse,257000,1000,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-1K-MED,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,1kg,Medium,257500,1000,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-1K-FIN,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,1kg,Fine,258000,1000,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-004-1K-XF,S-WIN-004,Copper Winter Estate,Winter,Seasonal Blend,1kg,Extra Fine,258500,1000,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit B..."
S-WIN-005-100-WB,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,100g,Whole Bean,35000,100,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-100-CRS,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,100g,Coarse,37000,100,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-100-MED,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,100g,Medium,37500,100,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-100-FIN,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,100g,Fine,38000,100,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-100-XF,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,100g,Extra Fine,38500,100,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-200-WB,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,200g,Whole Bean,62000,200,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-200-CRS,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,200g,Coarse,64000,200,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-200-MED,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,200g,Medium,64500,200,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-200-FIN,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,200g,Fine,65000,200,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-200-XF,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,200g,Extra Fine,65500,200,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-500-WB,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,500g,Whole Bean,140000,500,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-500-CRS,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,500g,Coarse,142000,500,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-500-MED,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,500g,Medium,142500,500,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-500-FIN,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,500g,Fine,143000,500,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-500-XF,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,500g,Extra Fine,143500,500,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-1K-WB,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,1kg,Whole Bean,255000,1000,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-1K-CRS,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,1kg,Coarse,257000,1000,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-1K-MED,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,1kg,Medium,257500,1000,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-1K-FIN,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,1kg,Fine,258000,1000,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-005-1K-XF,S-WIN-005,Sunrise Winter Ridge,Winter,Seasonal Blend,1kg,Extra Fine,258500,1000,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java..."
S-WIN-006-100-WB,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,100g,Whole Bean,35000,100,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-100-CRS,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,100g,Coarse,37000,100,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-100-MED,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,100g,Medium,37500,100,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-100-FIN,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,100g,Fine,38000,100,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-100-XF,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,100g,Extra Fine,38500,100,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-200-WB,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,200g,Whole Bean,62000,200,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-200-CRS,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,200g,Coarse,64000,200,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-200-MED,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,200g,Medium,64500,200,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-200-FIN,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,200g,Fine,65000,200,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-200-XF,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,200g,Extra Fine,65500,200,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-500-WB,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,500g,Whole Bean,140000,500,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-500-CRS,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,500g,Coarse,142000,500,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-500-MED,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,500g,Medium,142500,500,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-500-FIN,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,500g,Fine,143000,500,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-500-XF,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,500g,Extra Fine,143500,500,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
S-WIN-006-1K-WB,S-WIN-006,Mystic Winter Story,Winter,Seasonal Blend,1kg,Whole Bean,255000,1000,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwid..."
