child_sku,parent_sku,nama_blend,season,season_universe,kategori,ukuran,grind_size,harga_idr,berat_bersih_g,deskripsi_singkat
S-WIN-003-1K-XF,S-WIN-003,Windswept Keep,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci..."
S-WIN-004-100-WB,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-100-CRS,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-100-MED,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-100-FIN,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-100-XF,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-200-WB,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-200-CRS,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-200-MED,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-200-FIN,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-200-XF,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-500-WB,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-500-CRS,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-500-MED,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-500-FIN,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-500-XF,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-1K-WB,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-1K-CRS,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-1K-MED,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-1K-FIN,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-004-1K-XF,S-WIN-004,Dimmed Barracks,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebua..."
S-WIN-005-100-WB,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-100-CRS,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-100-MED,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-100-FIN,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-100-XF,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-200-WB,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-200-CRS,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-200-MED,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,200g,Medium,64500,200,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-200-FIN,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,200g,Fine,65000,200,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-200-XF,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,200g,Extra Fine,65500,200,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-500-WB,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,500g,Whole Bean,140000,500,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-500-CRS,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,500g,Coarse,142000,500,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-500-MED,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,500g,Medium,142500,500,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-500-FIN,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,500g,Fine,143000,500,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-500-XF,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,500g,Extra Fine,143500,500,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-1K-WB,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,1kg,Whole Bean,255000,1000,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-1K-CRS,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,1kg,Coarse,257000,1000,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-1K-MED,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,1kg,Medium,257500,1000,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-1K-FIN,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,1kg,Fine,258000,1000,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-005-1K-XF,S-WIN-005,Hollow Burrow,Winter,The Dark Passage,Seasonal Blend,1kg,Extra Fine,258500,1000,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam s..."
S-WIN-006-100-WB,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,100g,Whole Bean,35000,100,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
S-WIN-006-100-CRS,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,100g,Coarse,37000,100,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
S-WIN-006-100-MED,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,100g,Medium,37500,100,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
S-WIN-006-100-FIN,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,100g,Fine,38000,100,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
S-WIN-006-100-XF,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,100g,Extra Fine,38500,100,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
S-WIN-006-200-WB,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,200g,Whole Bean,62000,200,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
S-WIN-006-200-CRS,S-WIN-006,Sealed Passage,Winter,The Dark Passage,Seasonal Blend,200g,Coarse,64000,200,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua ..."
